Company,Date,Title,Abstract
American Express,"april 4, 2014",why mozilla's chief had to resign,"brendan eich's resignation as mozilla's chief executive over his views on gay marriage was not an example of political correctness run amok. at an activist organization, his views were shattering mozilla's cherished sense of community."
American Express,"april 2, 2014",blackberry breaks up with t-mobile,"weeks after a public spat between the two companies' chief executives, blackberry said that it would not allow t-mobile us to sell blackberry phones after april 25."
American Express,"march 31, 2014","if you're the victim of a tax fraud, tell the i.r.s.","plus, tracking charges from amazon."
American Express,"march 23, 2014",name-calling in the virtual playground,secret is the latest social media platform to confront the tendency of anonymous chat to provide cover for bad behavior.
American Express,"march 21, 2014",obama and tech executives to meet again on privacy issues,the president held a similar meeting in december and later announced he was taking steps to re-evaluate the breadth of the national security agency's electronic surveillance programs.
American Express,"march 14, 2014",u.s. to cede its oversight of addresses on internet,"an international group, not yet determined, will take over the task of assigning names and numbers for internet addresses."
American Express,"march 3, 2014",bypassing a credit card requirement for apps,downloading free apps or other content from apple's stores doesn't require having a credit card on file.
American Express,"feb. 27, 2014",british spies said to intercept yahoo webcam images,"accounts based on documents supplied by edward j. snowden say images -- many sexually explicit -- were collected from yahoo users, even those not suspected of illegal activity."
American Express,"feb. 8, 2014",republicans are wooing the wired,"in 2012, democrats took a commanding lead in technological outreach to voters. bruised republicans are now trying to build their own bench -- but in silicon valley, it's not easy."
American Express,"feb. 8, 2014","search for a market niche, and you might find a crowd","for entrepreneurs, an overlooked target market may open broader doors to success."
American Express,"feb. 2, 2014",disruptions: paying to travel in the internet's fast lanes,"has the internet become so fundamental to our lives that it is, in essence, a utility that should be subject to regulation?"
American Express,"jan. 30, 2014",a case for cheaper broadband in schools,are america's schools getting a bad deal from government broadband regulation? a group of chief executives and venture capitalists is telling the f.
American Express,"jan. 28, 2014","with ad dollars elusive, yahoo's revenue falls","the internet portal and web publisher said its fourth-quarter revenue was $1.27 billion, down 6 percent from the same quarter a year ago."
American Express,"jan. 14, 2014","rebuffing f.c.c. in 'net neutrality' case, court allows streaming deals",the decision by a federal appeals court could pave the way for providers like verizon and at&t to charge content companies to deliver data at a faster speed.
American Express,"dec. 20, 2013",google back in europe's antitrust sights,"the european union's competition commissioner had agreed in october to a tentative resolution of antitrust concerns, but says now the concessions ""are not acceptable."""
American Express,"dec. 19, 2013","today's scuttlebot: the price of a stolen credit card, and #nsamovietitles","thursday's highlights from around the web include the economics of the stolen credit card black market. plus, ""how the grinch stole your metadata,"" and other parody holiday tales."
American Express,"dec. 12, 2013",u.s. agencies dance around cellphone use aloft,the transportation department is considering whether allowing in-flight voice calls is fair to consumers.
American Express,"dec. 3, 2013",we hear you. you don't want to hear us.,readers respond to a column exploring the pros and cons of the federal communications commission's consideration of allowing the use of cellphones on planes.
American Express,"nov. 11, 2013",china's one-day shopping spree sets record in online sales,chinese consumers were taking to the internet in record numbers for an annual 24-hour online sale that has ballooned into the world's biggest e-commerce event.
American Express,"oct. 30, 2013",n.s.a. said to tap google and yahoo abroad,"unbeknown to google and yahoo, the national security agency and its british counterpart have tapped into the search engines abroad, where data collection faces less oversight."
American Express,"oct. 26, 2013",teenagers prove fickle when choosing social networks,"last year, reports consistently found that teens were not very interested in twitter but were unhealthily addicted to facebook. now that seems to be flipping."
American Express,"oct. 8, 2013","encouraging the reviewers, honestly",american express and tripadvisor introduce a new program to make online reviews a bit more transparent.
American Express,"oct. 8, 2013","for shoppers, next level of instant gratification","new shopping services will allow consumers to instantly buy items they see on television, in magazines and even in their refrigerators."
American Express,"oct. 5, 2013",selling secrets of phone users to advertisers,advertisers and tech companies are finding new ways to track us on our smartphones and reach us with individualized ads.
American Express,"oct. 4, 2013",what can be sold in 140 characters? that's now the challenge for twitter,"in documents filed on thursday, twitter noted that it has been greatly expanding its inventory of advertising slots, especially for promoted tweets."
American Express,"sept. 8, 2013",verizon-f.c.c. court fight takes on regulating net,verizon and other companies that spent billions of dollars to build their internet pipelines are fighting the f.c.c.
American Express,"sept. 6, 2013",not ready for a smartwatch? try bluetooth earmuffs,accessories like earmuffs and handbags with bluetooth connections and speakers could pave the way for average consumers to adjust to wearable technology.
American Express,"sept. 5, 2013",path is trying to define your inner circle,how many people do you want to share everything with? the social networking site bets that it is a lot less than you might think.
American Express,"sept. 4, 2013",samsung unveils galaxy gear smartwatch,"the timing of the release could also give samsung a leg up over apple, which has yet to unveil a similar device but has long been rumored to be working on one."
American Express,"aug. 18, 2013","disruptions: texting your feelings, symbol by symbol","emoji icons can be baffling to american adults who, whether they realize it or not, are taking their social cues from japanese teenagers."
American Express,"aug. 16, 2013",hanging out at the e-mall,"web entrepreneurs are moving closer to duplicating the real-world feel of a mall, where shoppers can pop in and out of multiple stores, and browse with the advice of friends."
American Express,"aug. 9, 2013",trade commission orders ban on some samsung products,"the international trade commission upheld a preliminary finding that samsung's mobile products had violated two apple patents. the decision, unless vetoed by president obama, will result in an import ban on some devices."
American Express,"july 26, 2013",in the beginning was the word; now the word is on an app,"with more than 100 million downloads, youversion, a free app that offers over 600 bible translations, has found itself in the company of successful start-ups like instagram and dropbox."
American Express,"july 7, 2013",a new tool aims to help facebook users dig deep,"facebook is planning to introduce graph search, a tool to help users sift the volumes of information on the site, and its success is important to the company's future."
American Express,"june 30, 2013",e.u. reaction to data sharing revelations grew slowly,"the disclosure last month of the covert prism program has drawn criticism from privacy officials and activists in britain, germany and france, but it has hardly been a roar."
American Express,"june 30, 2013",disruptions: social media images form a new language online,"the rising popularity of the image in social media has further transformed the way we share our lives with one another. photos, once slices of a moment in the past -- sunsets, cappuccinos, the family vacation -- are fast becoming an entirely new type of dialogue."
American Express,"june 19, 2013","sizing up big data, broadening beyond the internet","internet companies were just the start. virtually every field, from science to sports to public health, is being transformed by data-driven discovery and decision-making."
American Express,"june 16, 2013",linkedin builds its publishing presence,"linkedin's influencers program, which consists of people in leadership positions posting about their lives and careers, has transformed viewer engagement on the site, its chief executive said."
American Express,"june 5, 2013",remember all those passwords? no need,"dashlane is a dedicated password memorization program stuffed with features, and it's free."
American Express,"may 30, 2013",self-driving cars for testing are supported by u.s.,"the transportation department said that driverless cars should not yet be allowed, except for testing, but noted that some safety features could save lives."
American Express,"may 23, 2013","used computer, $116,000 or best offer","apple-1 computers have sold for hundreds of thousands of dollars in recent auctions, a run-up reflecting the company's mystique."
American Express,"april 15, 2013",'lean in' software goes corporate,"the nonprofit financed by sheryl sandberg to get more women in positions of power uses a novel social networking software to create small groups with a common purpose. on tuesday, that software will be offered more broadly."
American Express,"april 3, 2013",a big data weapon for the mobile ad challenge,"mobile advertising is beginning to grow rapidly, but are marketers throwing their dollars away? audience measurement and targeting is far more primitive with mobile apps than on the web."
American Express,"april 3, 2013",2 deterrents to robocalls win f.t.c.'s contest,the f.t.c. expressed hope that the winning proposals find their way to the marketplace soon to provide relief to millions of american consumers.
American Express,"april 2, 2013",2 deterrents to robocalls win contest by f.t.c.,"the federal trade commission expressed hope that the winning proposals find their way to the marketplace soon, to provide relief to millions of american consumers."
American Express,"march 29, 2013",daily report: 'the attacks have changed from espionage to destruction',"american express is the latest victim in a wave of attacks on the online operations of american banks, david e. sanger and nicole perlroth on friday in the new york times."
American Express,"march 28, 2013","cyberattacks seem meant to destroy, not just disrupt","corporate leaders have long feared hacking in service of fraud or spying, but now a new threat has taken hold: attackers, possibly with state support, who seem bent on destruction."
American Express,"march 9, 2013","online emotions, in hundreds of new flavors","emoji and now online ""stickers"" have not been as popular in the united states as in other parts of the world. but some new american companies are trying to change that."
American Express,"feb. 20, 2013",f.c.c. moves to ease wireless congestion,"the commission proposed to make a big part of the spectrum, some of which is in government hands, available for unlicensed devices like wi-fi routers."
American Express,"feb. 17, 2013",disruptions: on the fast track to routine 3-d printing,"printing in 3-d shows more promise than other technologies that president obama has supported in the past, but the question is whether the united states can get a foothold in manufacturing one 3-d printer at a time."
American Express,"feb. 2, 2013","data protection laws, an ocean apart",the united states and europe are struggling to bridge a divide in the way their citizens are shielded against the use of their personal data.
American Express,"feb. 1, 2013",the origins of 'big data': an etymological detective story,"tracing the origins of the term ""big data"" shows how digital technology is changing the way words and ideas develop and spread, and how they are studied."
American Express,"jan. 14, 2013",today's scuttlebot: bookless libraries and anti-drone clothing,the technology reporters and editors of the new york times scour the web for important and peculiar items.
American Express,"jan. 9, 2013",europe to consider creating data protection regulator,"if approved, the proposal would replace an advisory panel with an agency with the power to levy fines on companies who violate rules on the use of information gathered online."
American Express,"jan. 8, 2013",u.s. tech firms facing stronger european data protection measures,"over the last year, american regulators and technology trade groups have tried to contain an effort by the european commission to increase data protection regulations for europeans. that may not be enough to slow the momentum in europe."
American Express,"dec. 13, 2012",u.s. rejects telecommunications treaty,"after weeks of talks that often pitted western governments against russia, china and developing countries, the united states announced it would not sign the agreement."
American Express,"dec. 9, 2012",telecoms merger in austria could open door to further consolidation,"after it was rejected by the national regulator, the combination of 3 austria and orange austria appears headed for approval after the intervention of the e.u. competition commissioner."
American Express,"dec. 6, 2012",drafters of communications treaty are split on issue of internet governance,"a united states proposal to keep the internet in the hands of the private sector is being resisted by some delegates, including those from russia and some african and middle eastern nations."
American Express,"nov. 29, 2012",panel approves a bill to safeguard e-mail,"a bill, approved by the judiciary committee, would require law enforcement officials to obtain a warrant from a judge before gaining access to messages in individual accounts."
American Express,"nov. 22, 2012",the shrewd shopper carries a smartphone,"apps for black friday shoppers are now loaded with planning tools, prices and directions to parking spots."
American Express,"nov. 10, 2012","a race against the clock, again, in package delivery","from 1998 to 2001, kozmo.com offered free delivery within an hour. now, some online merchants and their delivery partners are inching back toward that vision."
American Express,"oct. 5, 2012",nokia's new lumia is an at&t exclusive again,"nokia's new flagship smartphone, the lumia 920, will will be sold next month in the united states only in at&t stores. this story is familiar: last time, at&t was the only american carrier to support nokia's older flagship lumia, which didn't sell well. so why does at&t keep getting the goods?"
American Express,"sept. 23, 2012","data barns in a farm town, gobbling power and flexing muscle","when internet factories come to town, they can feel less like their sleek, clean and convenient image and more like old-time manufacturing."
American Express,"sept. 22, 2012","power, pollution and the internet","helping to process the staggering amount of internet activity that occurs, data centers waste vast amounts of energy, belying the information industry's image of environmental friendliness."
American Express,"sept. 5, 2012",consumers say no to mobile apps that grab too much data,a new study shows that american adults who download applications to their smartphones are wary of giving up too much of their personal information.
American Express,"sept. 4, 2012",daily report: multinationals push into venture capital,"from downtown san francisco to palo alto, calif."
American Express,"july 20, 2012",will windows phones replace blackberrys as bargaining chip?,"a research report suggests more bad news for research in motion. the cellphone carriers could use windows 8, not blackberry, to counterbalance the power of android and apple."
American Express,"july 18, 2012","pay by voice? so long, wallet","the pay with square service makes transactions easier than ever. if a retailer has your name and photo in its system, you only have to announce yourself to pay your bill."
American Express,"june 29, 2012",digital diary: talking about death online,posting about a personal loss online makes people -- both the poster and the readers -- uncomfortable.
American Express,"june 16, 2012","mapping, and sharing, the consumer genome","few consumers may have heard of acxiom, a database marketer. but it has amassed the world's largest commercial data trove about them, analysts say."
American Express,"june 11, 2012",the antidote to e-books,self-publishing has been made easier since the espresso book machine by on demand books made its debut in 2006.
American Express,"june 7, 2012","rather than share your location, foursquare wants to suggest one","foursquare, a start-up whose app lets users share their locations, has seen its growth slow, and its founders hope that suggesting places to users could change that."
American Express,"june 2, 2012",lawsuit shakes foundation of a man's world of tech,a sexual discrimination lawsuit by ellen pao at the venture capital firm kleiner perkins has prompted wider discussion about the treatment of women in the tech world.
American Express,"may 4, 2012","don't be shocked by more big acquisitions, facebook says","in a roadshow video, facebook says it is likely to make more expensive investments to rev up its mobile presence. the video devotes considerable time to convince investors that advertising, which is facebook's principal revenue source, is a promising business."
American Express,"april 4, 2012","2 underdogs produce, but in time?",nokia and microsoft joined forces to make the lumia 900 a top-of-the-line device. but that doesn't necessarily mean that people will flock to it.
American Express,"march 26, 2012",symantec dissolves a chinese alliance,the company is said to have feared that its venture with huawei technologies would prevent it from obtaining classified data from the united states government.
American Express,"march 18, 2012",ethics fight over domain names intensifies,pointed remarks followed a complaint from the commerce department. but china and russia have their own complaints and would like to reduce american influence over the system
Amgen,"march 20, 2010",would you pay $20 for access to a breast cancer cure?,"a canadian organization has started a biotech cooperative, financed by sales of $20 shares, to develop personalized therapies for breast cancer."
Amgen,"june 5, 2009",venture capital's elders say think small,some venture capitalists who have been investing since the 1960s say the v.c. industry has grown much too big.
Amgen,"dec. 26, 2008",glassdoor.com lists naughtiest and nicest c.e.o.'s of 2008,"glassdoor.com rates the best and worst chief executives of the year, based on anonymous employee reviews. the top boss: arthur levinson of genentech. the worst: steve odland of office depot."
Amgen,"dec. 18, 2008",software that opens worlds to the disabled,"fluidigm's offering, which it hopes to make on thursday unless market conditions force it to withdraw, is underwritten by morgan stanley."
Amgen,"sept. 16, 2008","in an unsettled market, a biotech company called fluidigm is about to go public","there is a tiny shred of good news for lehman brothers: one of its venture capital arm's investments, a biotech company called fluidigm, is set to go public this week. then again, that might not be such good news."
Amgen,"sept. 16, 2008",a lehman-backed biotech braves the markets,"the legislation, supported by technology and financial services companies, would limit damage awards for patent infringement and grant patents to the first inventor to file an application."
Amgen,"sept. 7, 2007",house passes bill to revamp patent process,the company moved to cut costs in the face of declining sales of the anemia drugs that account for nearly half its revenue.
